Ort;Plz
Bad Alexandersbad;95680
Bad Arolsen;34454
Bad Bayersoien;82435
Bad Bederkesa;27624
Bad Bellingen;79415
Bad Bentheim;48455
Bad Bergzabern;76887
Bad Berka;99438
Bad Berleburg;57319
Bad Berneck;95460
Bad Bertrich;56864
Bad Bevensen;29549
Bad Bibra;6647
Bad Birnbach;84364
Bad Blankenburg;7422
Bad Bocklet;97708
Bad Bodenteich;29389
Bad Brambach;8648
Bad Bramstedt;24576
Bad Breisig;53498
Bad Brückenau;97769
Bad Buchau;88422
Bad Camberg;65520
Bad Colberg-Heldburg;98663
Bad Ditzenbach;73342
Bad Doberan;18209
Bad Driburg;33014
Bad Düben;4849
Bad Dürkheim;67098
Bad Dürrenberg;6231
Bad Dürrheim;78073
Bad Eilsen;31707
Bad Elster;8645
Bad Ems;56130
Bad Emstal;34308
Bad Endbach;35080
Bad Endorf;83093
Bad Essen;49152
Bad Feilnbach;83075
Bad Frankenhausen;6567
Bad Freienwalde;16259
Bad Friedrichshall;74177
Bad Füssing;94072
Bad Gandersheim;37581
Bad Gottleuba;1816
Bad Griesbach;94086
Bad Grönenbach;87730
Bad Grund;37539
Bad Harzburg;38667
Bad Heilbrunn;83670
Bad Herrenalb;76332
Bad Hersfeld;36251
Bad Homburg;61348
Bad Homburg;61350
Bad Homburg;61352
Bad Honnef;53604
Bad Hönningen;53557
Bad Iburg;49186
Bad Karlshafen;34385
Bad Kissingen;97688
Bad Kleinen;23996
Bad Klosterlausnitz;7639
Bad Kohlgrub;82433
Bad König;64732
Bad Königshofen;97631
Bad Kösen;6628
Bad Köstritz;7586
Bad Kreuznach;55543
Bad Kreuznach;55545
Bad Krozingen;79189
Bad Laasphe;57334
Bad Laer;49196
Bad Langensalza;99947
Bad Lauchstädt;6246
Bad Lausick;4651
Bad Lauterberg;37431
Bad Liebenstein;36448
Bad Liebenwerda;4924
Bad Liebenzell;75378
Bad Lippspringe;33175
Bad Marienberg;56470
Bad Mergentheim;97980
Bad Münder;31848
Bad Münster-Ebernburg;55583
Bad Münstereifel;53902
Bad Muskau;2953
Bad Nauheim;61231
Bad Nenndorf;31542
Bad Neuenahr-Ahrweiler;53474
Bad Neustadt;97616
Bad Oeynhausen;32545
Bad Oeynhausen;32547
Bad Oeynhausen;32549
Bad Oldesloe;23843
Bad Orb;63619
Bad Peterstal-Griesbach;77740
Bad Pyrmont;31812
Bad Rappenau;74906
Bad Reichenhall;83435
Bad Rippoldsau-Schapbach;77776
Bad Rodach;96476
Bad Rothenfelde;49214
Bad Saarow-Pieskow;15526
Bad Sachsa;37441
Bad Säckingen;79713
Bad Salzdetfurth;31162
Bad Salzschlirf;36364
Bad Salzuflen;32105
Bad Salzuflen;32107
Bad Salzuflen;32108
Bad Salzungen;36433
Bad Sassendorf;59505
Bad Saulgau;88348
Bad Schandau;1814
Bad Schmiedeberg;6905
Bad Schönborn;76669
Bad Schussenried;88427
Bad Schwalbach;65307
Bad Schwartau;23611
Bad Segeberg;23795
Bad Sobernheim;55566
Bad Soden;65812
Bad Soden-Salmünster;63628
Bad Sooden-Allendorf;37242
Bad Staffelstein;96231
Bad Steben;95138
Bad Suderode;6507
Bad Sulza;99518
Bad Sülze;18334
Bad Teinach-Zavelstein;75385
Bad Tennstedt;99955
Bad Tölz;83646
Bad Überkingen;73337
Bad Urach;72574
Bad Vilbel;61118
Bad Waldsee;88339
Bad Wiessee;83707
Bad Wildbad;75323
Bad Wildungen;34537
Bad Wilsnack;19336
Bad Wimpfen;74206
Bad Windsheim;91438
Bad Wörishofen;86825
Bad Wünnenberg;33181
Bad Wurzach;88410
Bad Zwesten;34596
Bad Zwischenahn;26160
Badbergen;49635
Baddeckenstedt;38271
Badeborn;6493
Badekow;19258
Badel;39624
Badem;54657
Baden-Baden;76530
Baden-Baden;76532
Baden-Baden;76534
Badendorf;23619
Badenhard;56291
Badenhausen;37534
Badenheim;55576
Badenmühle;18209
Badenweiler;79410
Badersleben;38836
Badingen;16775
Badingen;39579
Badisch Schöllenbach;64754
Badow;19209
Badra;99706
Baek;19348
Baesweiler;52499
Bagemühl;17326
Bagenz;3130
Bagow;14778
Bahlenhüschen;19089
Bahlingen;79353
Bahnhof Zimmernsupra-Töttelstädt;99100
Bahnhof Zimmernsupra-Töttelstädt;99100
Bahnitz;14715
Bahnsdorf;1983
Bahnsdorf;4895
Bahnstock;88441
Bahratal;1816
Bahrdorf;38459
Bahren;3249
Bahrenborstel;27245
Bahrendorf;39171
Bahrenfleth;25569
Bahrenhof;23845
Bahrenhorst;18211
Bahretal;1819
Bahro;15898
Baienfurt;88255
Baierbach;84171
Baierbrunn;82065
Baierhof;73079
Baiern;85625
Baiersbronn;72270
Baiersdorf;91083
Baindt;88255
Baisweil;87650
Baitz;14806
Bäk;23909
Bakum;49456
Bälau;23881
Balderschwang;87538
Baldham;85598
Baldringen;54314
Balduinstein;65558
Balesfeld;54597
Balge;31609
Balgheim;78582
Balgstädt;6632
Balingen;72336
Balje;21730
Balkenkoppel;18320
Ballendorf;89177
Ballenstedt;6493
Ballerstedt;39606
Ballhausen;99955
Ballrechten-Dottingen;79282
Ballstädt;99869
Ballstedt;99439
Balow;19300
Bälow;19322
Baltmannsweiler;73666
Baltrum;26579
Balve;58802
Balzhausen;86483
Balzheim;88481
Bamberg;96047
Bamberg;96049
Bamberg;96050
Bamberg;96052
Bamme;14715
Bammental;69245
Bandau;38486
Bandekow;19249
Bandekow;19273
Bandelin;17506
Bandenitz;19230
Bandow;18258
Bann;66851
Bannberscheid;56424
Bannesdorf;23769
Bannewitz;1728
Banteln;31029
Bantikow;16868
Bantin;19246
Banzendorf;16835
Banzenhof;54619
Banzin;19260
Banzkow;19079
Barbelroth;76889
Barbing;93092
Barby;39249
Barchfeld;36456
Bardenitz;14913
Bardowick;21357
Bärenbach;55483
Bärenbach;55758
Bärenbach;73655
Bärenbrunnerhof;66996
Bärenbrunnermühle;66996
Barenburg;27245
Barendorf;21397
Barendorf;23936
Bärenhof;73529
Bärenklau;3172
Bärenklau;16727
Bärenstein;1768
Bärenstein;9471
Bärenthal;78580
Barenthin;16866
Bargenstedt;25704
Bargfeld-Stegen;23863
Bargholz;25563
Bargischow;17398
Bargstall;24806
Bargstedt;21698
Bargstedt;24793
Bargteheide;22941
Bargum;25842
Bark;23826
Barkelsby;24360
Barkenholm;25791
Barkhorn;24863
Barkow;19395
Barleben;39179
Barlt;25719
Barmissen;24245
Barmstedt;25355
Bärnau;95671
Barneberg;39393
Barnekow;23968
Barnewitz;14715
Barnin;19089
Barnitz;23858
Bärnsdorf;1471
Barnstädt;6268
Barnstedt;21406
Barnstorf;49406
Barntrup;32683
Barsbek;24217
Barsbüttel;22885
Barsdorf;16775
Barsikow;16845
Barsinghausen;30890
Barßel;26676
Bartelshagen II;18314
Bartenshagen;18209
Bartensleben;39343
Barth;18356
Bartholomä;73566
Bartow;17089
Barum;21357
Barum;29576
Baruth;15837
Barver;49453
Bärwalde;14913
Barwedel;38476
Barweiler;53534
Bärweiler;55606
Barzig;1994
Basberg;54578
Basdahl;27432
Basdorf;16352
Basdorf;16818
Basedow;17139
Basedow;21483
Bassenheim;56220
Bassum;27211
Bastheim;97654
Basthorst;21493
Bastorf;18230
Battaune;4838
Battenberg;35088
Battenberg;67271
Battgendorf;99625
Battin;6917
Battinsthal;17328
Battweiler;66484
Batzlow;15377
Bauda;1561
Baudenbach;91460
Bauerbach;98617
Bauerkuhl;19372
Bauler;53534
Bauler;54673
Baumersroda;6632
Baumgarten;16775
Baumgarten;18246
Baumholder;55774
Baunach;96148
Baunatal;34225
Bausendorf;54538
Baustert;54636
Bautzen;2625
Bawinkel;49844
Bayerbach;84092
Bayerbach;94137
Bayerfeld-Steckweiler;67808
Bayerisch Eisenstein;94252
Bayerisch Gmain;83457
Bayreuth;95444
Bayreuth;95445
Bayreuth;95447
Bayreuth;95448
Bayrischzell;83735
Bebendorf;37308
Bebensee;23816
Beberstedt;99976
Bebertal;39343
Beblinstetten;87770
Bebra;36179
Becheln;56132
Bechelsdorf;23923
Bechenheim;55234
Becherbach;55608
Becherbach;67827
Bechhofen;66894
Bechhofen;91572
Bechstedt;7426
Bechstedtstraß;99428
Bechtheim;67595
Bechtolsheim;55234
Bechtsrieth;92699
Beckdorf;21643
Beckedorf;31699
Beckedorfer Schacht;31698
Beckeln;27243
Beckendorf;39393
Beckenhof;66955
Beckenkrug;17194
Beckentin;19300
Beckingen;66701
Beckum;59269
Bedburg;50181
Bedburg-Hau;47551
Bedesbach;66885
Beedenbostel;29355
Beelen;48361
Beelitz;14547
Beelitz;39596
Beendorf;39343
Beenz;17258
Beerbaum;16259
Beerfelde;15518
Beerfelden;64743
Beesdau;15926
Beesenlaublingen;6425
Beesenstedt;6198
Beeskow;15848
Beesten;49832
Beestland;17111
Beetz;16766
Beetzendorf;38489
Beggerow;17111
